review_content,Sentiment
Nice phone with good battery backup,4
"fast charging, sturdy body and good process speed... camera quality is not good enough..but overall.. good budget phone..",4
1) Battery is decent2) Charging is very fast3) Camera is averagingOverall nice product,4
The phone is good from all aspects bug if ur looking for a good camera this is not the one.,3
The price of the product is higher at the time of launch. Within 1 month it dropped by 3k.The price qty is ok.Some features are missing which are available in Chinese make model.,2
"Pros1. Display(super amoled)2. Battery life(24 hrs moderate usage)3. Fast charging4. 120 hz refresh rate work seamlesslyCons1. Miui(lots of unnecessary apps)2.processor(sd 695 is too old)3.main Camera not up to the markOverall I just want to say if you're looking for a phone to watch movies and series and casual gaming go for it.(pubg, cod feels fantastic in this without any lag)If looking for heavy gaming or looking for a camera phone this one is not for you brother.",2
Good phone need improvement in camera,4
This mobile has the best camera compared with other models,5
Not charge like original my brother have same charger which is comes with note 10 box his charger charge without heating and fast and this is not charging as original,1
Got great discount nice product,5
"Please be aware while buying the original samsung 25w charger. There are many sellers on this link that sell a fake one.Pls check and buy from apparition retail for best product.Pls see the pic, on the right is the same product from another seller for 100/- lesser. The package was damaged and open. The charger only charges as ""fast charging"" and not super fast charging. The print on the adapter should be in gold font (original).The packing text etc is almost exact.. pls be careful as this can damage the mobile.The final one from Appario was original. Does Super fast charge as directed. Good charger and reliable...",1
Good,4
It works fine. The solidness is worth it. Me satisfied,4
"Fast charging, as mentioned.",4
I am happy with the purchase. Please note that this charger head doesn't come with the cable. Cable needs to be purchased separately. I already had a compatible cable so I purchased just the charger head.,3
Value for money,5
"Despite being affordable, these headphones are pretty good. I use them mostly for talking on the phone. The sound quality is crisp and clear, though for serious music listening, I think, other more expensive headphones will be better.",4
Worth to buy ..sound is also good,4
Thanks to realme and AmazoneIt was good and delivered at the time,4
Highly recommended,5
Battery life is low,2
Worth purchase,5
Good performance at this price range,4
"A economical product to buy for average usage of checking time, heart monitoring, steps track, etc.Battery backup great single charge stands for min 3 days.Recommended only for simple use and show off.",4
"First of all, this watch is budget friendly.watch faces - the app has a large number of watch faces step track - not that accurate but that fine• weather forecast:- 100% accuratesleep - pretty accurate information Overall, the experience is pretty good.But but but, The battery life is not that good only 4 days of battery backup.",3
Nice product,4
Good nice,4
Overall good product to buy,4
Boat wave call watch is best for budget.Call is too good and sound quality is also too good.Battery is good.Totally the watch is good for range.,3
It's good value for money smart watch.Light weight. Touch is smooth.All the features are 90-95% accurate.,4
a good product in this price range must buy itGOOD LOOKINGGOOD QUALITY,4
Good product is mst h,4
Average for calling good looking,3
"I'm really happy to purchase this watch! It's very affordable having so many features. The calling feature works really well! Overall, if you're looking so good brand & good features, go for this ..",5
Product does not turn onPlease return the item. Please.,1
Good product,4
long wire,4
Charges good,4
Nice,4
"I bought this cable for Rs.339 worthy product for this price, i tested it in various charger adapters 33w and 18w it supports fast charging as well.",5
Good,4
Ok,3
I had got this at good price on sale on Amazon and product is useful with warranty but for warranty you need to go very far not practical for such a cost and mine micro to type c connector stopped working after few days only.,2
I like this product,5
"Bought this instead of original apple, does the work for 150rs, not as fast as apple charger but its a good option if you want cheap and good product, bought it for iPad pro 10.5 and it's working flawlessly, build quality is ok, its not like i am gonna hang my clothes on it and i want a very strong cable, even a braided cable stop working after a year, i have used both Anker and Apple store strong braided cable they all stop working after a year so please don't buy high end cables just for that instead choose a this one and even if it's stops working withing a year you only loose 150rs compares to 2000rs.UPDATE------------------------------------pin has stopped charging from one side, now i have to slip the pin to charge from other side, but i will update and let know for how long does it work",3
It’s good. Not sure about durability as the pin area feels a bit fragile,3
Does not support apple carplaySo was little disappointed about thatOther than that cable is made up of very good quality,3
Best to buy,5
100% NOT FATHFUL,5
"Writing this review post 10 months and 3 orders of the same product.Honestly Portronics Konnect L lightning cable works like magic with the original Apple charging brick.Seeing the price of the cable I initially hesitated buying as it was as low as ₹99/- with the offers and so I wasn’t sure if it would work well with my iPhone 12 or whether it would impact my iPhone’s battery health because all the other lightning cable brands were costing over ₹350/- like Wayona, Amazon Basics, etc.Earlier I was using Wayona Brand lightning cable with eventually frayed and stopped working.Charging Speed:Charges my iPhone fast enough almost similar compared to the original cable level when used with 12W Original Apple power adapter.Quality and Durability:Great quality braided cable and doesn’t tangle easily and can withstand day-to-day usage.L-Shaped pin:This is very innovative by Portronics and it makes sure the cable doesn’t get damaged even if used while charging.CarPlay and Data Sync:Works smoothly with CarPlay and syncs data effortlessly.PS: I have used this cable only with the Original Apple Charging Brick and extremely satisfied with its performance.",1
Better than I expect the product I like that Quality and I plan to buy same type cable come with usb C to Lighting cable for emergency purpose that much I love this cable. Buy for this cable only emergency uses only since Good one,5
Good product and value for money,4
"I ordered this phone based on specs it was providing, later I saw flood of negative reviews coming up on Amazon which made me test few of things that was mentioned, if it was true.1. Calls getting disconnected - I had call with my brother last night and we talked for 50 min and call did not disconnect in the middle.2. Heating issue - While in day to day use never faced heating issue but It gets a little hot while charging, I can understand because of massive fast charging which is understandable. Every phone with fast charging heats a little.3. Camera Quality - It has a decent 64 mp Samsung camera module which is justified at price it comes. You can judge the camera based on how well it performs indoor with artificial lighting conditions and this has done good. Attached pic of cake which I clicked indoor only bright light source was candle. It performed well I can say.(To people who complaint about camera -  I just cannot expect picture clarity of Apple or Samsung high end devices, i have to set my expectations right for the price we have paid)4. AnTuTu Benchmark Score - While company claim of 740000+ while I tested i got a score of 700000+ . I again cannot complaint here because I don't know what was the testing conditions and criteria that company had followed while testing. 700000+ is pretty decent score I can say5. Phone lag - In two days of testing it has not lagged at all. With multiple background apps running.6. Battery Drain - Revisit few of the settings on your device, like animation, transition effect etc to get most out of your battery. If your batter is set of monstor mode set it to normal or battery saver to make most. Again battery depends of usage of individual and i cannot blame company. While I started to write this review my cell phone was at 100%. Now it's almost 25 min typing till now it's now showing 99%, i have set my screen at full brightness, i fell its decent. Also tested charging speed 0 to 50 in 12.03 min.7. Build quality - It's sturdy and decent plastic is used. I can say at this price point they should have provided glass build but again considering all price benefit you have got while buying this phone no complaint (Card Discount + Exchange Benefit etc) . Still I would take out 1 star here.8. Black colour issue - Did not face any problem with screen leak or black colour. It's AMOLED screen. Black is highlight of AMOLED. In case you were using IPS / FHD panel on your previous phone you will have trouble distinguishing. I have Samsung M51 as secondary device and i see black similar on both.9. BGMI - I played few rounds yesterday and did not face any frame drop or lag.10. Two year warranty - They calaimed to provide two year warranty on this device but during registration it shows only 1 year. I have personally wrote to Iqoo team and Amazon team seeking an answer, with screenshots waiting for answer.BTW majority of phone manufacturers provide 1 year warranty only, even iPhone. Here I would say fight for you justice and seek answer from Iqoo or Amazon Team.11. Video call lag - Did not face any, did multiple video calls yesterday with different people, did not get any complaint from them about my video lag. For all of them my video popped up instantaneous.Overall I would say I had a great buy and can recommend this device to others , for all the folks bombarding negative reviews, I would say first set your expectations right and you will be satisfied. In case even still you are facing problem then you have every right to complaint and get justice.Overall i give this device a 4 star as of now since I am yet to test this device long term like 3 months or 4 months.*Please excuse any typos or grammatical errors if any. Entire review was typed on my phone Iqoo Neo 6.",3
"I have been using a budget phone realme 3 since 2019 (dynamic black, 3GB/64GB). It served me well, but it was time for an upgrade. I was looking for a midrange model this time that would have almost everything I wanted within my budget. Did I get one? Let’s dig into it!THE GOOD# Price. After discounts, I got a phone with practically all the features I wanted.# IQOO is basically from Vivo, an internationally recognized brand. Hopefully, I don’t have to worry about software updates for at least 3 years. IQOO is already doing good as I have received 3 security updates so far for the Android 12 that came out of the box. I will keep an eye on the security updates and OS upgrades as it will make me decide whether to go for Vivo/IQOO for my next phone.# Dual 5G SIM support, which is futuristic. With 4G, the call quality has been superb so far.# E4 AMOLED 120 Hz 1300 nits (peak) 1080x2400 pixels display with 6000000:1 contrast ratio, 360 Hz touch sampling rate and HDR10+ (Netflix HDR supported). A huge upgrade from my previous phone. The photos, OTT movies look too good. Easier to read contents like messages, emails or documents.# 64 MP main cam with OIS. OIS was a must-have feature for me since I could be taking a lot of low-light photos.# 4700 mAh battery with 80W FlashCharge Technology; 50% in 12 min, 100% in 32 min. Works as claimed. The battery life has been satisfactory.# SD 870 CPU. Not one of the flagship processors today, but highly capable, and fantastic at this price. Inclusion of 12 GB RAM has made this phone a buttery-smooth one for running apps (Android is quite a RAM dependent OS unlike iOS). Up to 4 GB of phone storage can be used for extended RAM. Currently, I have 100+ apps installed (mostly productivity apps, but no gaming apps). The cascade cooling system seems to be working.# 256 GB ROM with UFS 3.1. Since phones nowadays tend to ditch a dedicated microSDXC slot, and this phone is no exception, I did not want the 128 GB variant. A fast, large internal ROM is better than an external card as the latter loads the apps, files slower.# The in-display fingerprint reader works well.# The stereo speakers are reasonably good.# Infrared port (IR blaster). I have not tried using it as a remote, but a must try.# USB-C port with USB-C to USB-A data cable that connects to the phone charger. Some of us prefer a USB-C to USB-C data cable instead as it is more friendly to the modern devices, but I can see why IQOO decided to provide a USB-C to USB-A. Most laptops still come with USB-A ports (even my recent hp 250 G8 laptop from the company I work for does have a USB-C port without power delivery, and two USB-A ports!). My powerbanks don’t have USB-C ports either.# Screenshots, lock screen virtual buttons. Must as using physical buttons frequently for these functions can potentially damage the buttons.THE BAD# Google backup. A FAIL. Since I did not have a USB-C to USB-C cable, I had to choose the Wi-Fi data transfer option from my old phone to this one. Although I selected all the files, Google failed to transfer many files especially the PDFs. Dear Google, this is unacceptable.# Spam handling. My realme 3 lets me block any SMS I want, but this one does not. In my opinion, every modern phone must have a native app that can identify the caller and help block a number or an SMS as needed. I have stopped using a 3rd party app like Truecaller, which has become a truly rogue app.# No 3.5 mm jack (a plus when you don't have a bluetooth earphone, or don't prefer one), but IQOO thankfully included a USB-C to 3.5 mm adapter in the box.# The absence of gorilla glass protection is not a good thing, but I do not mind as I barely drop my phone, and the phone came with an already applied tempered glass screen protector, and a transparent back cover. Really appreciated. The plastic body does not bother me; moreover, the dark nova color feels cool. YMMV.# In my realme 3 (and not in my realme C2, which means it is a custom feature from realme for specific OS versions), if I try turning off the daily wakeup alarm, it gives me options like “Turn off on…” (the next day for which the alarm is active), “Do not repeat any more”, or “Cancel”. This is a fabulous feature as it allows me to turn off the alarm for a particular day (say, an upcoming leave or holiday) without turning it off for the following days! Unfortunately, this artificial intelligence is not available in my IQOO Neo 6 5G.Always buy a recently released model if you are going for an Android phone. This will make sure that you get software support for long enough time. Moreover, avoid buying the variant with lowest RAM/ROM. And, fast charging is a necessity as you see that you are hooked up with your phone all the time.I have used this phone for ~ 2 months and will update this review as I keep using it. Till date, I am quite satisfied with IQOO Neo 6 5G (I also liked the Funtouch OS), and recommend it to anybody who has needs like me.",3
"Wow!!! Just wow!!! How can a beautiful product like this exist at such an affordable price?! I mean I am simply amazed by this watch. Kya dikhti hai yaar aur kya waqt dikhati hai yaar. Yeh ghadi tik-tik toh nahin chalti but it has made my life tracking theek-theek for sure since the day it is with me. I love this watch. The accuracy, colour (black), weight, apperance, etc. are so so so amazing.Giving 4 stars because its mobile app sucks for real. Mobile connectivity has a lot to be improvised. It could have been upto the mark agar ghadi banane pe itna kharcha kar hi diya hai toh :(",4
Nice product and user friendly compare to other smart watch.,5
Nice watch,4
Noise is best...it's very useful product,4
I like,4
After 6 months the charging is not working,1
Good productI hv used this product since 1 year,4
The selfie stick is made up of cheap quality plastic.However the built structure of the selfie stick is stable and even the tripod stand will provide you ample support to make a video  time lapse or a portrait selfie.Recommended to all video bloggers who have just started their channels on YouTube or any other sites.Its worth a product with the money we are paying to purchase it.,4
"Did take this product on a trip. It's good but I was always afraid whether it's going to fell from the stand. The holder is clumpsy, cannot hold it tighter. Need another person help to insert the phone in the stand or need to sit down and stretch the phone holder to insert the phone. Maybe not worth 399₹. Let me know if you have any other doubts",3
It is user friendly,4
Product is good and light weight.,4
Works well and Bluetooth connectivity is also good.,5
Nice product.Bluetooth option Is good,4
"Stability is ok only, otherwise a decent product",3
Good product,4
"It's a good deal to get the SD card in this price, but it was even less in Reliance digital. But as I needed in 1 day it's fine to order.",3
Looking or fake product...,1
Storage is perfect,5
Package quality not good,1
Installation was easy.i got it for my tablet.i had a confusion bw this and SanDisk and finalised this one coz mine is s6lite.free spce shown as 119 gb..it's been only two days.no problem faced.will update if any issues arise.,5
Go for it ensure size,4
Best,5
Good charging speed as expected but heat up faster like it charged speed.,4
"Best adapter for iPhone and buy one thing it can’t take more power supply voltage in it, it may damage",5
Go for it,5
Value for money product,5
Value for money,5
Fast charging. Very good product in this price. I have iPhone 13. It’s take 1 and half hour for Full charge.,5
Charges pretty well.,4
"Working perfectly, value for money",5
"I am not big on camera usage, personally. I was even mentally prepared for a bad camera, based on some reviews here. But I was pleasantly surprised that camera clicks good photos. They are not awesome, but they are decent photos that can even be shared.Now coming to my biggest grouse; heating issue. The phone started heating up while charging, but it was just a little and so I could have ignored it. But then it started heating up more and got me very concerned. I even ordered a replacement thinking I got a defective piece. But then, after further tests, I found that it is heating more when I download huge amounts of data, for example, when I restore data of my old phone, from back up. This is ok with me as, I don't perform huge data loads regularly, definitely not on phone. Then I tested by running tasks I usually perform such as checking office mails, attending office meeting on phone, watching a video from Amazon Prime, and so on. The phone did not heat up even a little. Personally, this is good for me.At this price range, this is a good phone. But if you are camera heavy user and expect to perform heavy downloads frequently, this phone may not for you. I am personally satisfied with this phone as it works for my type of usage. I will not go into plus points of this phone as they are covered by other reviews already. I am only attempting to clarify about how this phone can suit you (or not) in terms of camera and heating. I had many questions about these aspects before buying. Perhaps this review will help you make an informed decision to buy (or avoid). Cheers.",4
"Display - BeautyCamera - decentPerformance - AmazingBattery - ok (in 5000mah u expect more tbh)Overall good phone...Also after 1day of use, i found some network connectivity issue in my jiosim, which I'm using right now in this phone, but I'll keep update this review after 1month of usage!",4
"It's a decent mobile under this price but few things worried me , weight of the phone, too many procedure to change some settings, no screen casting. Apart from that it has good touch, a decent camera for day light , battery life is good.",3
"I bought this smartphone for my mom. Samusung interface is very handful for easy use. Battery is superb, last whole day. Camera is mediocre but provide original colour pictures. All in all satisfied with this smartphone that i got in sale for 9499.",5
Unable to do video call within same service provider as in VOLTE within same service provider video call feature is available.,1
Product is fine.  Nothing Fancy but for the budget it is a good phone.,4
"BATTERY : more than enough for normal use  Not sure in gamingCAMERA : good in this segment , can record  videos in FHD 30fpsDISPLAY : since it's a LCD display the quality is  a bit less , but goodV RAM : you can add upto 2gb of virtual ram  but have to sacrifice your storage  Space to use it  OVERALL A GOOD BUDGET PHONE",4
Finger print is working speedy battery backup is good camera quality is also good,4
"The sound quality of this earphone are really good. The bass part was also good. I only found the noise cancellation was not what I expected. It could be much better. Finally, I can say its a good value for money.",4
"At this purchase, i did'nt received head phone pouch to keep my head phones safe... it disappointed me",2
Pin that I do connect to the phone gets automatically to outside. It doesn't work. Plz amazon help me. I'm a regular customer of this company. I'll be really thankful to you.,1
Great sound quality and good bass. Decent noise cancellation. I couldn't have asked for  better earphones at this price.,4
Best for gaming,5
Good,4
Nice product,4
I purchased the 6/128gb variant.To sum  it up in to pros and cons.Pros :-1.Good design in terms of look of the phone and it's build quality.2. Screen quality is good with little boosted colour tone.3. The new processor is very smooth and responsive.4. Speaker quality is good without too much treble.5. Camera is ok for selfie and main camera performance is above average with less noise.6. Camera in front is small so notch is not distracting while playing video.Cons :-1.Main camera struggles after 3x zoom.And video call performance of front camera  is inferior to stock selfie photo.2. 18 watt charger took 1hr30 mins to charge 80% of the phone.So charging speed is not time saving for this big battery.,3
Its super good for normal usage,5
Camera is ok for normal,3
It's working fine and no issuew. Iqoo providing quality devices compared to other brands,4
Camera quality is not that high,3
Value for money,5
Phone is very handy and battery is also good. Quality of phone is good.,5
"Got this watch for Rs. 2499 and at this price it is an amazing deal. Good built quality, lag free interface, big screen size and good screen resolution are some of the key features of this watch.",5
Very happy with the purchase.Great job done by the Fireboltt.The display,5
UI and features are so good,5
special mention:build quality,4
top notch.A little disappointed with the less watch faces,4
i believe more watch faces will be adding soon.,4
The look of the smartwatch is amazing and is pretty heavy too. The screen is smooth but in the 360° movement in one of the menu view there can be a problem.The straps are deattachable which is an another drawback.,3
Bright displayNo laggingGood speaker and micNo issues with connectivityBest under 3k,3
perfectly satisfied.Crystal clear screen.,5
Over all good product,5
Best watch under 3000/-,5
It's a good product.,4
Like,5
Very good item strong and useful USB cableValue for moneyThanks to amazon and producer,5
Good,4
Sturdy but does not support 33w charging,3
Nice product and useful product,4
-,4
"This is good mobile stand. Sturdy with mobiles but not sure about tablets. Looks good on the desk but not very much attractive as per its design.Unless you are not concerned more about look of the stand and want it for your mobile then, this will be good for you.",4
Nice product,4
This is very useful product..nd easy to use ..so I like it,5
"The stand is okay for the price. Doesn’t look very fine, in fact looks a bit old even when brand new. The band name is also not imprinted clearly. Looks cheap, but did it’s job okay. I got it for ₹89 in a deal.Sometimes the mic gets blocked and the phone has to be adjusted a little out of the stand. Overall worth the buy",3
Product Material - full PlasticQuality - 7 out of 10,1
The product is not the best but a better option at that price range. Bought it for just 119 rupees,3
The earphones have good clear sound quality. It lacks base. Battery backup is good. ANC is a myth in this earphone. It might hurt your ear if you wear it for longer duration depending on the shape of your ear,3
Eat easily fit in ears and light weight ,4
and sound quality is good too. Over all its worth to by this samsung buds ita connects well to the samsung mobile too.,5
"Bought this solely due to its form factor - to try how samsung has made them to sound in this open bud style. To be true Samsung has managed excellently to give us an unique TWS.This is not an inear style TWS but resembles somewhat earbud style TWS, only of its kind in the market as far as my Knowledge goes.They are held very good in my ears, gives me a good seal and does not fall out (strange as I can't use earbuds because they fall out frequently). It seems that Samsung has finalised the shape after a good homework. However, it doesn't mean that it will fit everybody as there are many dissatisfied users around the globe.The finish, build and all such generic factors are top notch.  The size of the buds and the case is very small.Now about the sound. If the buds fit in one's ears with a good seal, the sound is full bodied but if the seal is not perfect, it may be tinny.The sound signature is very bassy for my taste and I have to eq it to my taste. The bass is so pounding that sometimes it becomes difficult to get a taste of the treble. I listen it in TREBLE BOOST mode adjusted through the app. ANC works strangely and noise reduction is not very decipherable. In contrary, ANC ON somewhat opens up the sound. Don't buy this for ANC.Strangely to me, these buds sound better on my iPhone 12mini than my Galaxy S22 (Spotify and Apple Music). The buds have app support for both Android (Galaxy wear) and iOS (Galaxy Buds Live) but the Android app is more feature packed and works better.  The iOS app couldn't update the firmware (although there is a Menu in the app) and always showed the device to be on latest firmware. However,  as soon as I connected with my S22, on pairing,  the first thing it did was to update the firmware.I love these buds solely for their form factor and they are pretty good for 4.4K against an MRP of 16K. The do sound very good but does not suit my taste.  Persons loving bass may love them. Don't get them for ANC. Battery consumption not yet fully tested but seems ok. It has wireless charging too. If your ears are too small or too large than normal - better not to buy as they may either not go in the ears or will fit loose giving a improper seal.",4
"Best call quality. Noise cancelling could have been improved to best, but still wotks good.Descent battery life.Music is good. Not to that top notch, but good in this segment.Overall worth for buying with good call quality a very little to compromise but good.",4
I am using this for like 3 months it is a good and productive if you are in the samsung ecosystem if you are not a part then do not buy it its not worth its price.,2
Bluetooth range is not that good,2
"The sound quality is extremely good for a tws and the sound signature is almost flat. I got these for Rs.5290, it almost felt like a steal deal for me until I faced one cardinal flaw in the design of these buds. The bluetooth antenna has an absymal performance. It feels like I am using bluetooth v3.0. The range is so poor that even if you put the phone in the pocket, the audio starts stuttering. The mic quality is a hit or miss, inside the house it works very well, but outside it performs poorly. I think it has more to do with poor antenna design than the microphone's quality. If you are thinking that maybe the faulty product is an exception, then do a google search about its range issue and you will find hundreds of people complaining about the same thing. Samsung has poorly implemented the design and is reluctant to admit its fault. I pity those who bought it at around 15k for such a flawed product. Even at Rs 5k it is not worth it because of the range issue. It is better to buy a wired IEM, atleast it will sound better than this.",3
In this price Samsung brand is goodEasy to wear and good battery backupHardly support the 2 meter Bluetooth connectivity,5
"Verdict : A Solid buy for this price segment in 2022 (and even for early 2023)There are 2 reviews in this section. Review 1 is 30 days after purchase (Typos in the Review 1 has rectified now) and Review 2 is 15 days post Android 13 beta update. These reviews are based on my own personal experience of the device purchased here in Amazon on 1 August 2022.Before OOS 13 update, 5G (only for Jio) was enabled via another update. 5G is still not available in my region. Hence, 5G related parameters are not covered in this review.Review 2: After about 15 days of Oxygen OS 13 Beta update (Android 13):(Update received on 1 Dec 2023).Note: After the beta update, no new issues popped up.i.e., there were;No Heating related issues.No fast battery drain.No change in the Charging time.No annoying bugs.No change in camera performance.Beta update is mostly like a Stable update.OOS 13 (Android 13) update review:Delighters:> No new apps added. Absolutely NOT.> System storage consumption remains the same (13.2 GB).> Animations are more fluidic.> More customization UI features added. (Scout widgets in home screen, Enlarged folder & lot more.)> Daily data usage is available in the notification panel and need not be reset daily unlike earlier.> Slight improvement in the Front Ambient light sensor.> Ability to play videos in the background & screen OFF as well (even for YouTube)  (Really a welcoming & longing feature, which other brand UIs have not or only with screen OFF)> Stand-by battery life has improved substantially.Disappointers:> Brightness at lowest level is brighter than before.> No improvement in Sound levels. Still initial 40% is too silent.> No Dolby Atomos (which was mentioned for OOS 13). Perhaps, to wait for Stable update.> Auto brightness latency is higher than earlier. Response time is tad increased.> Haptics have become tighter than earlier, but still not stronger.=======================================================================Review 1:Verdict - A Good Buy in this price range in 2022.Note:- This review is after a month's usage.- Received 2 updates during the course of time (Recent update was of 0.98 GB).- System consumes 13.2 GB space. 128 GB variant is pretty adequate for a normal usage.- N77 band is missing for 5G.- The unit I bought DOES NOT have any sort of heating issues or fast battery drain issue.- Shifting from a 120 Hz to this 90 Hz mobile. No noticeable difference observed. ( In Non-gaming aspect)- Nothing Great or Noting worse in the unmentioned parameters.Things that are delighting;> Exceptional signal reception (especially 4G+ carrier aggregation). Very fast download speeds.> Insane Fast charging (0 to 100% in 40 mins, 30 to 100 % in 20 mins, excluding trickle charge). No heating of the mobile (just slight warming) during charging.> Stand by charge and SoT is fantastic (Even more than 7.5 hrs, for Videos, YT and general tasks and calls, even in mobile data always ON and AOD set to Battery saver.> Oxygen OS = Color OS/Realme OS - Bloatware. The skin is really good & nothing to complain like other brands' UI.> Absolutely no 3rd party bloatware and no ads in the UI or any 2nd party apps. Even some 2nd party apps are ""un-installable"". No major bothering bugs noticed till date.> Yes, the ""Alert slider"" is included, unlike some premium OnePlus models.Things that are annoying;> Dual ambient light sensor (1 in rear and other in front) is not well calibrated. The brightness is always in the lower side and frequent manual increase in required.> Volume level is useless until 40% level (can be audible only in ""Pin-drop silence ambience). Audible enough only post 40% level. Stereo speakers output are 70% bottom and 30 % earpiece. But full volume doesn't distort & is loud enough.> Haptics are tight but not strong, even in higher levels. Effective only post 40% and best only @ 90% level)> Hotspot drains battery quickly (even a warning notification pops up). Also, Chrome and Google app eats away battery quickly. Parallel downloads makes the area near the camera module warm).> Though the in-hand feel is good, the buttons are of no close tolerances and wobbles a bit.> Data billing cycle to be reset daily to show the daily data usage in the notification panel.> The inbuild DAC (no 3.5 mm hole and only Type-C port) is not great. The Dirac equalizer is also not yielding best output. Perhaps, Dolby Atmos support in OOS 13 could improve the audio output.",4
"Overall it's a good mobile phone. The speed and interface is all good but expect battery to last long. Not much, i always keep it in battery saving mode and work for about 18-20 hours on normal use.. not many themes available. Samsung is better in that sense.. there are many wallpapers and themes available. Display is clear and camera is also good! Overall okay.",3
"Battery drains like any thing. Rest all good.I have to recharge twice a day, don't buy if you want a good battery backup.Even though phone is fast charge, I am disappointed with battery life.",2
"I bought 12gb and 256 and it's working very smoothly, for normal regular use you can go for it.",5
"There is problem with temper glass part , front Cemera area temper glass not installing",2
Good but not so fast as I think 12gb 256 it's ordinary like 8gb .,3
"Apart from battery and sound quality, everything else is good.",4
Very nice product and easy to use as well as very soft to cable.,5
IN PICTURE SHOWS AS 16 NOS BUT IN COVER ONLY 8 NOS,3
Quality product,5
So far ok. Will hold the wire connecting after the USB joints. But couldn't stop it from bending,3
Don’t even think of buying this by just looking at the cheap price of this product as it has been made by cheap quality plastic which can not protect your cables as it is not at all sturdy so please don’t buy,1
Only two packs came,1
The product is cool. Value for money. Love it,5
"So about the product Boom ultima, as it goes by the name it really got the ultimate bass effect. Wires are great built and tangle free. The audio jack is compatible with almost all devices and its gold plated as well. I just didn't find the case. It was missing from my product. Though they have given 2 pairs of extra buds with different sizes. Overall it's a great wired in mic earphones. Go ahead and add to your cart. You won't regret it.",4
NOT FOR HIGH BASS LOVERS,2
Everything was OK but as shown in the picture that you will get a case along with earphones,3
which was not there inside it(only earphone and some earplucks were there),2
This range very good product.if your budget under- 400 definitely you can bye this product.,4
Nice product,4
"Product is good but the accessories like the pouch is not provided as mentioned in the description in the second delivery also, despite the return of first delivery of the product  for REPLACEMENT with pouch",3
product is good but needs to work on noise cancellation,3
"I am not big on camera usage, personally. I was even mentally prepared for a bad camera, based on some reviews here. But I was pleasantly surprised that camera clicks good photos. They are not awesome, but they are decent photos that can even be shared.Now coming to my biggest grouse; heating issue. The phone started heating up while charging, but it was just a little and so I could have ignored it. But then it started heating up more and got me very concerned. I even ordered a replacement thinking I got a defective piece. But then, after further tests, I found that it is heating more when I download huge amounts of data, for example, when I restore data of my old phone, from back up. This is ok with me as, I don't perform huge data loads regularly, definitely not on phone. Then I tested by running tasks I usually perform such as checking office mails, attending office meeting on phone, watching a video from Amazon Prime, and so on. The phone did not heat up even a little. Personally, this is good for me.At this price range, this is a good phone. But if you are camera heavy user and expect to perform heavy downloads frequently, this phone may not for you. I am personally satisfied with this phone as it works for my type of usage. I will not go into plus points of this phone as they are covered by other reviews already. I am only attempting to clarify about how this phone can suit you (or not) in terms of camera and heating. I had many questions about these aspects before buying. Perhaps this review will help you make an informed decision to buy (or avoid). Cheers.",4
"Display - BeautyCamera - decentPerformance - AmazingBattery - ok (in 5000mah u expect more tbh)Overall good phone...Also after 1day of use, i found some network connectivity issue in my jiosim, which I'm using right now in this phone, but I'll keep update this review after 1month of usage!",4
"It's a decent mobile under this price but few things worried me , weight of the phone, too many procedure to change some settings, no screen casting. Apart from that it has good touch, a decent camera for day light , battery life is good.",3
"I bought this smartphone for my mom. Samusung interface is very handful for easy use. Battery is superb, last whole day. Camera is mediocre but provide original colour pictures. All in all satisfied with this smartphone that i got in sale for 9499.",5
Unable to do video call within same service provider as in VOLTE within same service provider video call feature is available.,1
Product is fine.  Nothing Fancy but for the budget it is a good phone.,4
"BATTERY : more than enough for normal use  Not sure in gamingCAMERA : good in this segment , can record  videos in FHD 30fpsDISPLAY : since it's a LCD display the quality is  a bit less , but goodV RAM : you can add upto 2gb of virtual ram  but have to sacrifice your storage  Space to use it  OVERALL A GOOD BUDGET PHONE",4
Finger print is working speedy battery backup is good camera quality is also good,4
"I am using OnePlus 10R 8GB 128GB more than one month. It is my first ever OnePlus phone. My personal review about this phone is as under:Pros:1. Boxy design looks nice but feels not so premium but if you use its cover it feels nice. Cover quality is very nice.2. Screen is bright even in sunlight if you select auto brightness. Also screen color and touch response feels premium.3. Battery life is very impressive with 1.5 day backup with normal use.4. 80 watt charger is very fast which charge your phone within 30 to 35 minutes.5. I am not a heavy gamer but I tried asfalt 9 which runs very smooth.I think it'll play heavy games smoothly. So it perform well.6. I am new to use Oxygen OS. I feels OS premium and smooth without adds.7. Rear camera shots very good pictures but selfie camera need some improvement which I think can be done via software update.8. No heating issue.9. Lightweight.Cons:1. If you use without case, it doesn't feel like premium phone.2. I don't like the sound quality although is has dual speaker. You can feel vibration on its back pannel which feels very bad.3. Selfie camera needs improvement.4. Zoom is very bad on rear camera.5. No IP certification.6. No expendable storage.7. Paid theme store.8. Should have some dot notch animations like samsung.  At last I can say it is a nice phone with some cons, if you want OnePlus smartphone within Rs. 35000/- you can go for it.",4
